序号,公告日期,证券,标题,
69,2014-12-16,武钢股份(600005.SH),武钢股份2014年第二次临时股东大会的法律意见书,
70,2014-12-16,武钢股份(600005.SH),武钢股份2014年第二次临时股东大会决议公告,
71,2014-12-12,武钢股份(600005.SH),武钢股份第六届董事会第二十三次会议决议公告,
72,2014-12-06,武钢股份(600005.SH),武钢股份关于2014年第二次临时股东大会增加临时提案的公告,
73,2014-12-03,武钢股份(600005.SH),武钢股份关于控股股东武汉钢铁(集团)公司无偿划转公司部分股份事项获国务院国资委批复同意及完成过户登记的公告,
74,2014-11-20,武钢股份(600005.SH),武钢股份2014年第二次临时股东大会会议资料,
75,2014-11-20,武钢股份(600005.SH),武钢股份关于获得政府补助的公告,
76,2014-10-31,武钢股份(600005.SH),武钢股份第六届董事会第二十二次会议决议公告,
77,2014-10-31,武钢股份(600005.SH),武钢股份2014年第三季度季报,
78,2014-10-25,武钢股份(600005.SH),武钢股份:武汉钢铁集团鄂城钢铁有限责任公司2014年上半年合并财务报表审计报告,
79,2014-10-25,武钢股份(600005.SH),武钢股份独立董事关于公司资产置换暨关联交易及2014年日常关联交易事项的独立意见(2),
80,2014-10-25,武钢股份(600005.SH),武钢股份:武钢集团国际经济贸易总公司2013年至2014年6月合并财务报表审计报告,
81,2014-10-25,武钢股份(600005.SH),武钢股份:武汉钢铁(集团)公司与武汉钢铁股份有限公司资产置换项目所涉及的武钢集团国际经济贸易总公司评估报告,
82,2014-10-25,武钢股份(600005.SH),武钢股份独立董事关于公司资产置换暨关联交易及2014年日常关联交易事项的独立意见(1),
83,2014-10-25,武钢股份(600005.SH),武钢股份:武汉钢铁(集团)公司拟与武汉钢铁股份有限公司资产置换项目涉及之:武汉钢铁集团鄂城钢铁有限责任公司评估报告,
84,2014-10-25,武钢股份(600005.SH),武钢股份第六届董事会第二十一次会议决议公告,
85,2014-10-25,武钢股份(600005.SH),武钢股份第六届监事会第十六次会议决议公告,
86,2014-10-25,武钢股份(600005.SH),武钢股份资产置换暨关联交易公告,
87,2014-10-25,武钢股份(600005.SH),武钢股份2014年日常关联交易公告,
88,2014-10-25,武钢股份(600005.SH),武钢股份复牌公告,
89,2014-10-25,武钢股份(600005.SH),武钢股份关于召开2014年第二次临时股东大会的通知,
90,2014-10-18,武钢股份(600005.SH),武钢股份继续停牌公告,
91,2014-10-17,武钢股份(600005.SH),武钢股份关于控股股东武汉钢铁(集团)公司无偿划转公司部分股票的公告,
92,2014-10-11,武钢股份(600005.SH),武钢股份停牌公告,
93,2014-09-19,武钢股份(600005.SH),武钢股份2014年第一次临时股东大会的法律意见书,
94,2014-09-19,武钢股份(600005.SH),武钢股份2014年第一次临时股东大会决议公告,
95,2014-09-05,武钢股份(600005.SH),武钢股份2014年第一次临时股东大会会议资料,
96,2014-08-30,武钢股份(600005.SH),武钢股份独立董事提名人声明,
97,2014-08-30,武钢股份(600005.SH),武钢股份第六届董事会第二十次会议决议公告,
98,2014-08-30,武钢股份(600005.SH),武钢股份第六届监事会第十五次会议决议公告,
99,2014-08-30,武钢股份(600005.SH),武钢股份2014年半年报摘要,
100,2014-08-30,武钢股份(600005.SH),武钢股份关于召开2014年第一次临时股东大会的通知,
101,2014-08-30,武钢股份(600005.SH),武钢股份独立董事候选人声明(李新创),
102,2014-08-30,武钢股份(600005.SH),武钢股份独立董事候选人声明(祁怀锦),
103,2014-08-30,武钢股份(600005.SH),武钢股份2014年半年报,
104,2014-07-03,武钢股份(600005.SH),武钢股份关于非公开发行股票批复到期的公告,
105,2014-06-20,武钢股份(600005.SH),武钢股份2013年度分红派息实施公告,
106,2014-06-04,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份公司债券受托管理事务报告(2013年度),
107,2014-05-30,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份2011年公司债券跟踪评级报告(2014),
108,2014-05-30,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份关于,
109,2014-05-23,武钢股份(600005.SH),武钢股份关于披露2013年度股东大会法律意见书的公告,
110,2014-05-22,武钢股份(600005.SH),武钢股份2013年年度股东大会决议公告,
111,2014-05-22,武钢股份(600005.SH),武钢股份2013年度股东大会的法律意见书,
112,2014-05-10,武钢股份(600005.SH),武钢股份2013年年度股东大会会议资料,
113,2014-04-29,武钢股份(600005.SH),武钢股份审计报告,
114,2014-04-29,武钢股份(600005.SH),武钢股份:关于武汉钢铁股份有限公司盈利预测实现情况的专项审核报告,
115,2014-04-29,武钢股份(600005.SH),武钢股份内部控制审计报告,
116,2014-04-29,武钢股份(600005.SH),武钢股份独立董事关于公司2013年度控股股东及其他关联方资金占用及对外担保情况的专项说明,
117,2014-04-29,武钢股份(600005.SH),武钢股份第六届董事会第十九次会议决议公告,
118,2014-04-29,武钢股份(600005.SH),武钢股份2014年日常关联交易公告,
119,2014-04-29,武钢股份(600005.SH),武钢股份关于召开2013年度股东大会的通知,
120,2014-04-29,武钢股份(600005.SH),武钢股份第六届监事会第十四次会议决议公告,
121,2014-04-29,武钢股份(600005.SH),武钢股份独立董事关于公司日常关联交易的独立意见,
122,2014-04-29,武钢股份(600005.SH),武钢股份2013年度内部控制评价报告,
123,2014-04-29,武钢股份(600005.SH),武钢股份2013年度企业社会责任报告,
124,2014-04-29,武钢股份(600005.SH),武钢股份董事会审计委员会2013年度工作报告,
125,2014-04-29,武钢股份(600005.SH),武钢股份独立董事2013年度述职报告,
126,2014-04-29,武钢股份(600005.SH),武钢股份:关于武汉钢铁股份有限公司控股股东及其他关联方资金占用情况的专项说明,
127,2014-04-29,武钢股份(600005.SH),武钢股份2013年年报摘要,
128,2014-04-29,武钢股份(600005.SH),武钢股份2013年年报,
129,2014-04-29,武钢股份(600005.SH),武钢股份2014年第一季度季报,
130,2014-03-20,武钢股份(600005.SH),武钢股份关于职工董事调整的公告,
131,2014-03-06,武钢股份(600005.SH),武钢股份关于审计机构更名的公告,
132,2014-02-22,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份:,
133,2014-02-15,武钢股份(600005.SH),武钢股份关于公司及相关方承诺履行情况的公告,
134,2014-01-29,武钢股份(600005.SH),武钢股份第六届董事会第十八次会议决议公告,
135,2014-01-28,武钢股份(600005.SH),武钢股份2013年年度业绩预增公告,
136,2014-01-08,武钢股份(600005.SH),武钢股份关于非公开发行股票申请获中国证券监督管理委员会核准的公告,
137,2013-12-24,武钢股份(600005.SH),武钢股份关于房产处置的补充公告,
138,2013-12-24,武钢股份(600005.SH),武钢股份关于获得政府补助的公告,
139,2013-12-19,武钢股份(600005.SH),武钢股份:房地产估价报告,
140,2013-12-19,武钢股份(600005.SH),武钢股份关于出售房产的公告,
141,2013-11-30,武钢股份(600005.SH),武钢股份:北京中伦(武汉)律师事务所关于武汉钢铁(集团)公司增持武汉钢铁股份有限公司股份的专项核查意见,
142,2013-11-30,武钢股份(600005.SH),武钢股份关于公司控股股东增持本公司股份计划实施期限届满的公告,
143,2013-11-01,武钢股份(600005.SH),武钢股份:武汉钢铁(集团)公司拟转让其所持有的武钢巴西冶金投资有限公司90%股权所涉及的武钢巴西冶金投资有限公司股东全部权益价值评估报告,
144,2013-11-01,武钢股份(600005.SH),武钢股份:武汉钢铁(集团)公司拟将其所持武钢国际资源开发投资有限公司100%股权转让给武汉钢铁股份有限公司项目资产评估报告,
145,2013-11-01,武钢股份(600005.SH),武钢股份:武钢集团国际经济贸易总公司拟将其所持武钢(澳洲)有限公司100%股权转让给武汉钢铁股份有限公司项目资产评估报告,
146,2013-11-01,武钢股份(600005.SH),武钢股份:武汉钢铁(集团)公司拟将其所持武汉钢铁集团矿业有限责任公司100%股权转让给武汉钢铁股份有限公司项目评估报告,
147,2013-11-01,武钢股份(600005.SH),武钢股份关于非公开发行股票申请涉及补充评估相关情况的公告,
148,2013-10-29,武钢股份(600005.SH),武钢股份:武汉钢铁集团财务有限责任公司审计报告,
149,2013-10-29,武钢股份(600005.SH),武钢股份:武钢集团财务有限责任公司审计报告,
150,2013-10-29,武钢股份(600005.SH),武钢股份:武汉钢铁集团财务有限责任公司增资扩股项目资产评估报告摘要,
151,2013-10-29,武钢股份(600005.SH),武钢股份关于控股子公司武钢集团鄂城钢铁有限责任公司向武汉钢铁集团财务有限责任公司追加投资的关联交易公告,
152,2013-10-29,武钢股份(600005.SH),武钢股份第六届监事会第十三次会议决议公告,
153,2013-10-29,武钢股份(600005.SH),武钢股份第六届董事会第十七次会议决议公告,
154,2013-10-29,武钢股份(600005.SH),武钢股份关于向武汉钢铁集团财务有限责任公司追加投资的关联交易公告,
155,2013-10-29,武钢股份(600005.SH),武钢股份2013年第三季度季报,
156,2013-10-25,武钢股份(600005.SH),武钢股份关于武汉钢铁(集团)公司有关承诺事宜的公告,
157,2013-09-27,武钢股份(600005.SH),武钢股份第六届监事会第十二次会议决议公告,
158,2013-09-27,武钢股份(600005.SH),武钢股份2013年第二次临时股东大会决议公告,
159,2013-09-27,武钢股份(600005.SH),武钢股份2013年第二次临时股东大会的法律意见书,
160,2013-09-26,武钢股份(600005.SH),武钢股份关于公司非公开发行股票申请获得中国证券监督管理委员会审核通过的公告,
161,2013-09-17,武钢股份(600005.SH),武钢股份2013年第二次临时股东大会会议资料,
162,2013-09-17,武钢股份(600005.SH),武钢股份关于2013年第二次临时股东大会增加临时提案的公告,
163,2013-09-10,武钢股份(600005.SH),武钢股份关于独立董事辞职的公告,
164,2013-09-07,武钢股份(600005.SH),武钢股份关于非公开发行股票申请文件告知函有关问题落实情况的公告,
165,2013-08-27,武钢股份(600005.SH),武钢股份第六届监事会第十一次会议决议公告,
166,2013-08-27,武钢股份(600005.SH),武钢股份第六届董事会第十六次会议决议公告,
167,2013-08-27,武钢股份(600005.SH),武钢股份关于召开2013年第二次临时股东大会的通知,
168,2013-08-27,武钢股份(600005.SH),武钢股份2013年半年报,
169,2013-08-27,武钢股份(600005.SH),武钢股份2013年半年报摘要,
170,2013-07-19,武钢股份(600005.SH),关于给予武汉钢铁股份有限公司董事、原总经理彭辰等通报批评的决定,
171,2013-07-13,武钢股份(600005.SH),武钢股份更正公告,
172,2013-07-12,武钢股份(600005.SH),武钢股份关于获得政府补助的公告,
173,2013-07-11,武钢股份(600005.SH),武钢股份关于控股股东增持公司股份的公告,
174,2013-06-29,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份关于,
175,2013-06-29,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份2011年公司债券跟踪评级报告(2013),
176,2013-06-14,武钢股份(600005.SH),武钢股份2012年度分红派息实施公告,
177,2013-05-28,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份公司债券受托管理事务报告(2012年度),
178,2013-05-22,武钢股份(600005.SH),武钢股份2012年年度股东大会决议公告,
179,2013-05-22,武钢股份(600005.SH),武钢股份2012年度股东大会的法律意见书,
180,2013-05-11,武钢股份(600005.SH),武钢股份2012年年度股东大会会议资料,
181,2013-05-11,武钢股份(600005.SH),武钢股份关于湖北省投资公司将所持本公司控股子公司鄂钢公司之股权无偿划给武钢集团事项的公告,
182,2013-04-27,武钢股份(600005.SH),武钢股份2012年度企业社会责任报告,
183,2013-04-27,武钢股份(600005.SH),武钢股份第六届监事会第十次会议决议公告,
184,2013-04-27,武钢股份(600005.SH),武钢股份关于2012年度股东大会的通知,
185,2013-04-27,武钢股份(600005.SH),武钢股份第六届董事会第十五次会议决议公告,
186,2013-04-27,武钢股份(600005.SH),武钢股份2013年日常关联交易公告,
187,2013-04-27,武钢股份(600005.SH),武钢股份2012年度募集资金存放和使用的核查报告,
188,2013-04-27,武钢股份(600005.SH),武钢股份控股股东及其他关联方资金占用情况的专项说明,
189,2013-04-27,武钢股份(600005.SH),武钢股份内部控制审计报告,
190,2013-04-27,武钢股份(600005.SH),武钢股份审计报告,
191,2013-04-27,武钢股份(600005.SH),武钢股份独立董事述职报告,
192,2013-04-27,武钢股份(600005.SH),武钢股份收购资产业绩实现情况的专项审核报告,
193,2013-04-27,武钢股份(600005.SH),武钢股份2012年度会计变更事项说明的审核报告,
194,2013-04-27,武钢股份(600005.SH),武钢股份2012年度募集资金存放与使用情况的鉴证报告,
195,2013-04-27,武钢股份(600005.SH),武钢股份前次募集资金使用情况的鉴证报告,
196,2013-04-27,武钢股份(600005.SH),武钢股份2012年年报,
197,2013-04-27,武钢股份(600005.SH),武钢股份2012年年报摘要,
198,2013-04-27,武钢股份(600005.SH),武钢股份2013年第一季度季报,
199,2013-04-20,武钢股份(600005.SH),武钢股份关于控股子公司武汉钢铁集团鄂城钢铁有限责任公司收到财政补贴的公告,
200,2013-04-09,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份第六届董事会第十四次会议决议公告,
201,2013-03-25,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：2013年第一次临时股东大会决议公告,
202,2013-03-25,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：2013年第一次临时股东大会的法律意见书,
203,2013-03-21,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：关于公司非公开发行A股股票事项获得国务院国有资产监督管理委员会同意批复的公告,
204,2013-03-15,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：2013年第一次临时股东大会会议资料,
205,2013-03-05,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：非公开发行股票涉及关联交易的公告,
206,2013-03-05,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：关于召开2013年第一次临时股东大会的通知,
207,2013-03-05,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：非公开发行A股股票预案（修订稿）,
208,2013-03-05,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：武钢（澳洲）有限公司审计报告书,
209,2013-03-05,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：武汉钢铁（集团）公司拟将其所持武钢国际资源开发投资有限公司100%股权转让给公司项目资产评估报告,
210,2013-03-05,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：武钢国际资源开发投资有限公司审计报告书,
211,2013-03-05,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：武汉钢铁（集团）公司拟将其所持武钢巴西冶金投资有限公司90%股权转让给公司项目资产评估报告,
212,2013-03-05,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：武汉钢铁（集团）公司拟将其所持武汉钢铁集团矿业有限责任公司100%股权转让给公司项目资产评估报告,
213,2013-03-05,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：武汉钢铁集团矿业有限责任公司审计报告书,
214,2013-03-05,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：武钢集团国际经济贸易总公司拟将其所持武钢（澳洲）有限公司100%股权转让给公司项目资产评估报告,
215,2013-03-05,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：非公开发行A股股票募集资金运用的可行性分析报告（修订稿）,
216,2013-03-05,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：第六届董事会第十三次会议决议公告,
217,2013-03-05,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：关于公司前次募集资金使用情况的鉴证报告,
218,2013-03-05,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：未来三年（2013年-2015年）股东回报规划,
219,2013-03-05,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：第六届监事会第九次会议决议公告,
220,2013-03-05,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：武钢巴西冶金投资有限公司审计报告书,
221,2013-02-26,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：关于“11武钢债”付息公告,
222,2013-01-16,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：关于公司控股股东增持进展情况公告,
223,2012-12-19,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：对外投资公告,
224,2012-12-19,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：中国平煤神马能源化工集团有限责任公司拟实施增资扩股所涉及的该公司股东全部权益价值评估报告,
225,2012-12-19,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：武汉钢铁集团鄂城钢铁有限责任公司拟出售焦化厂部分资产项目资产评估报告书,
226,2012-12-19,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：第六届董事会第十二次会议决议公告,
227,2012-12-19,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：关于控股子公司武汉钢铁集团鄂城钢铁有限责任公司与中国平煤神马能源化工集团有限责任公司合资组建联合焦化公司的公告,
228,2012-12-19,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：武汉钢铁集团鄂城钢铁有限责任公司拟以焦化厂部分固定资产出资项目资产评估报告书,
229,2012-11-30,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：关于公司控股股东增持本公司股份的公告,
230,2012-11-27,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：非公开发行股票涉及关联交易的公告,
231,2012-11-27,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：第六届董事会第十一次会议决议公告,
232,2012-11-27,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：非公开发行A股股票预案,
233,2012-11-27,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：第六届监事会第八次会议决议公告,
234,2012-11-20,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：重大事项继续停牌公告,
235,2012-11-13,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：重大事项继续停牌公告,
236,2012-11-06,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：重大事项继续停牌公告,
237,2012-11-02,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：关于控股股东及实际控制人尚未履行完毕承诺情况的公告,
238,2012-10-30,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：重大事项停牌公告,
239,2012-10-29,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：2012年第三季度报告,
240,2012-10-29,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：第六届董事会第十次会议决议公告,
241,2012-08-27,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：第六届监事会第六次会议决议公告,
242,2012-08-27,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：第六届董事会第九次会议决议公告,
243,2012-08-27,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：2012年半年度报告摘要,
244,2012-08-27,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：2012年半年度报告,
245,2012-06-29,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：第六届董事会第八次会议决议公告,
246,2012-06-29,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：关于2012年固定资产折旧年限调整的公告,
247,2012-06-18,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：2012年第一次临时股东大会的法律意见书,
248,2012-06-18,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：2012年第一次临时股东大会决议公告,
249,2012-06-15,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：2011年度分红派息实施公告,
250,2012-06-08,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：2012年第一次临时股东大会会议资料,
251,2012-05-31,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：关于召开2012年第一次临时股东大会的通知,
252,2012-05-31,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：第六届董事会第七次会议决议公告,
253,2012-05-21,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：2011年年度股东大会决议公告,
254,2012-05-21,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：2011年度股东大会的法律意见书,
255,2012-05-09,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：2011年年度股东大会会议资料,
256,2012-04-24,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：2011年独立董事述职报告,
257,2012-04-24,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：内部控制专项报告,
258,2012-04-24,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：第六届董事会第六次会议决议公告,
259,2012-04-24,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：2012年日常关联交易公告,
260,2012-04-24,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：第六届监事会第五次会议决议公告,
261,2012-04-24,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：2011年度募集资金存放与使用情况的鉴证报告,
262,2012-04-24,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：收购资产业绩承诺实现情况专项审核报告,
263,2012-04-24,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：关于更换保荐代表人的公告,
264,2012-04-24,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：2012年内部控制规范实施工作方案,
265,2012-04-24,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：关于控股子公司武汉钢铁集团鄂城钢铁有限责任公司为湖北鄂钢嘉华新型建材有限公司提供担保的公告,
266,2012-04-24,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：2011年年度报告摘要,
267,2012-04-24,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：控股股东及其他关联方占用资金情况的专项说明,
268,2012-04-24,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：2011年年度报告,
269,2012-04-24,"武钢股份(600005.SH),11武钢债(122128.SH)",武钢股份：关于2011年度股东大会的通知,
